layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,sampling_seed,status,reason,smina_n_scored,smina_coverage,smina_sample_failure_last_auroc,smina_sample_failure_last_ef1,smina_sample_failure_last_top_n,smina_sample_failure_last_top_active_expected,smina_scored_only_auroc,smina_scored_only_ef1,smina_scored_only_top_n,smina_scored_only_top_active_expected,pre_min_interaction_n_scored,pre_min_interaction_coverage,pre_min_interaction_sample_failure_last_auroc,pre_min_interaction_sample_failure_last_ef1,pre_min_interaction_sample_failure_last_top_n,pre_min_interaction_sample_failure_last_top_active_expected,pre_min_interaction_scored_only_auroc,pre_min_interaction_scored_only_ef1,pre_min_interaction_scored_only_top_n,pre_min_interaction_scored_only_top_active_expected,interaction_n_scored,interaction_coverage,interaction_sample_failure_last_auroc,interaction_sample_failure_last_ef1,interaction_sample_failure_last_top_n,interaction_sample_failure_last_top_active_expected,interaction_scored_only_auroc,interaction_scored_only_ef1,interaction_scored_only_top_n,interaction_scored_only_top_active_expected,composite_n_scored,composite_coverage,composite_sample_failure_last_auroc,composite_sample_failure_last_ef1,composite_sample_failure_last_top_n,composite_sample_failure_last_top_active_expected,composite_scored_only_auroc,composite_scored_only_ef1,composite_scored_only_top_n,composite_scored_only_top_active_expected
L1,P15056,30,5,25,2958,58,2900,3538126413850084672,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P15121,30,5,25,918,18,900,4326741249025338552,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P15538,30,5,25,765,15,750,4915933133119674648,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P16050,30,5,25,1989,39,1950,9598615790052500239,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P16083,30,5,25,816,16,800,6567276775186114943,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P16110,30,5,25,663,13,650,9972420758062439674,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P16234,30,5,25,1989,39,1950,6720110692137392100,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P17252,30,5,25,1122,22,1100,3532384661850968386,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P17706,30,5,25,867,17,850,1719588630171020291,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P17931,30,5,25,714,14,700,5788183934409947701,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P18031,30,5,25,5916,116,5800,6934965098307331861,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P18089,30,5,25,816,16,800,9998813397603056377,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P18825,30,5,25,1020,20,1000,4072980393294734940,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P19099,30,5,25,867,17,850,6409715170489875396,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P19634,30,5,25,1173,23,1150,17085121565900694480,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P19793,30,5,25,816,16,800,5332406631645524149,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P20272,30,5,25,561,11,550,14640738845008153015,unavailable,FileNotFoundError: Pocket absent from dataset and source archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P21397,30,5,25,1071,21,1050,14426756627351617575,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P21554,30,5,25,5100,100,5000,15236817030286312209,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P21589,30,5,25,1224,24,1200,2876744501479057992,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
