layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L2,Q14145,62918,8.0,6,-9.98049,,-103.8957839954161,-61.927464289773766,-780792.2119119714,-722630.9402952247,-58156.76626913933,-780789.4187495515,941,0.0019568989519029,True,2.87251860235758,2.777701077901539,3.0,7.0
L2,Q14145,64270,7.0605,6,-11.20416,,-129.1460904227641,-87.49366132646323,-807629.6697982346,-722630.9402952247,-84993.12919848242,-807626.1299524632,461,0.0019987905398011,True,2.859161444780772,3.005194810121236,1.0,1.0
L2,Q14145,77634,8.0,6,-9.86229,,-91.99762284253563,-17.071460981307933,-780791.9104400204,-722630.9402952247,-58156.98075028878,-780787.6717915718,686,0.0019782215822488,True,2.7421978547036425,2.910505675903547,9.0,9.0
L2,Q14145,83648,8.0,6,-10.88,,-98.85227997074558,-56.86572388461662,-817518.6851860142,-722630.9402952247,-94883.45825021632,-817515.9403241567,683,0.0019215586362406,True,2.897843284538808,2.809594022712192,7.0,2.0
L2,Q14145,122553,7.699,6,-10.13918,,-91.97601068556678,-57.30441239384095,-782236.6755378672,-722630.9402952247,-59601.746785327465,-782233.5657514585,361,0.0015899573918431,True,2.7922390273525446,2.8707423458558514,10.0,5.0
L2,Q14145,143441,8.0,6,-10.00789,,-97.9683922439574,-63.83099407461225,-816228.3727844927,-722630.9402952247,-93593.18417769436,-816225.8442968116,392,0.0018624786753207,True,2.8926857874832503,2.571687113612656,8.0,6.0
L2,Q8NER1,27152,7.0223,2,-9.63657,,-55.59590140061911,-43.05407947288917,-892317.7767877496,-853276.5750970907,-39038.79082419517,-892316.065832558,729,0.0016006608493626,True,3.2206743870110026,2.9800082906970946,3.0,6.0
L2,Q8NER1,35078,6.6498,2,-9.75623,,-49.084520563819325,-33.22738497180788,-889202.7177181294,-853276.5750970907,-35924.014114772326,-889201.0960007545,736,0.0016378021100535,True,3.1278296062948754,2.961539698758143,7.0,4.0
L2,Q8NER1,38542,6.1593,2,-10.16139,,-52.75258326300775,-32.771860254591374,-900945.6095469312,-853276.5750970907,-47666.746881320905,-900943.4128202504,1000,0.00650618923828,False,2.956947117319467,3.0922093676907147,5.0,1.0
L2,Q8NER1,52263,6.1662,2,-9.54419,,-40.85997524021545,-24.720545946917504,-958716.8941945452,-853276.5750970907,-105438.54724122892,-958715.1178363428,548,0.0013712202198803,True,3.089281327181098,3.1027510380426566,8.0,7.0
L2,Q8NER1,62450,6.0297,2,-9.5076,,-39.72305360014127,-28.20941783956596,-891776.6530928406,-853276.5750970907,-38498.35544111277,-891774.8857065653,536,0.0011997640831395,True,3.1199825527204283,3.1383227284394226,9.0,8.0
L2,Q8NER1,119254,6.4045,2,-9.23689,,-63.38654619216278,-42.20073691103957,-892654.8029833027,-853276.5750970907,-39375.479185415454,-892652.8545018374,706,0.0010431945556774,True,3.0054394966370315,3.043761471499637,2.0,9.0
L2,Q8NER1,125391,6.3497,2,-9.07439,,-39.11043773359045,-16.567398841356894,-953540.4267148344,-853276.5750970907,-100262.1556286448,-953538.2297820004,354,0.0019446361111477,True,3.0845162449498886,2.9961773989777,10.0,10.0
L2,Q8NER1,131041,7.8239,2,-9.98308,,-78.80087835312013,-36.099048118085776,-890575.3459032029,-853276.5750970907,-37295.35367660896,-890572.8477675165,737,0.0018651601858437,True,2.792115046585646,2.565067354296554,1.0,3.0
L2,Q8NER1,132261,6.202,2,-10.15633,,-55.21072163411192,-35.195436827039195,-897830.859403696,-853276.5750970907,-44551.89014311714,-897828.632107707,452,0.0014998142141848,True,3.07460370332392,3.114333646926967,4.0,2.0
L2,Q8NER1,140296,6.9393,2,-9.71959,,-52.71986541969606,-34.02819786311481,-891777.3566357093,-853276.5750970907,-38498.49538887894,-891775.4123206162,395,0.0010954594472423,True,2.8735787167970552,3.127161122618832,6.0,5.0
L2,Q92793,7699,8.2596,-1,-7.89982,,-167.11053046638827,-45.75606517061493,-585683.9905457658,-530154.48349833,-55522.2604489728,-585681.4386921022,746,0.001798577257432,True,2.921669025461077,2.565906481164314,1.0,8.0
L2,Q92793,30981,7.2596,-1,-7.95693,,-42.32158065991761,-29.62612442908732,-584711.1884946171,-530154.48349833,-54554.86975885171,-584709.4935314083,359,0.0018699972424656,True,3.2322087341181303,3.410061511044324,9.0,7.0
L2,Q92793,46473,7.7447,-1,-9.1216,,-45.384105032436246,-20.97563657387232,-578694.3367562181,-530154.48349833,-48537.885216826566,-578692.0267864036,377,0.0014131030766293,True,2.9555489553879557,3.272372858960015,8.0,3.0
L2,Q92793,56089,7.2596,-1,-9.66298,,-54.46735899537624,-16.518754325857692,-573440.6238147172,-530154.48349833,-43283.77838815392,-573437.0801173283,860,0.0019567685667425,True,2.8975405549793525,2.713752846460785,5.0,1.0
L2,Q92793,74284,6.2596,-1,-7.76606,,-61.83452420902791,-37.75215125878741,-572371.6823026327,-530154.48349833,-42214.51740554918,-572369.3527326674,501,0.0018232678994536,True,3.112005815305729,2.776745837907444,4.0,9.0
L2,Q92793,92633,8.2596,-1,-8.53567,,-66.07443149830323,-34.86801764778868,-574312.7227689798,-530154.48349833,-44155.37401211464,-574310.2967508294,681,0.0018667641561478,True,2.939830944424154,2.913405179760188,2.0,4.0
L2,Q92793,99659,6.2596,-1,-8.18958,,-36.319851313627225,-19.2750278768013,-571300.6454736011,-530154.48349833,-41144.58699745266,-571298.2802412591,435,0.0014639785513281,True,2.6972861650444666,2.872183595861408,10.0,5.0
L2,Q92793,104318,8.2596,-1,-7.76029,,-48.20780576280261,-31.603306275900582,-571301.7811047022,-530154.48349833,-41145.20711805779,-571299.76907053,395,0.0016699971165508,True,2.928245304204282,2.9512717317111825,7.0,10.0
L2,Q92793,113888,8.2596,-1,-9.14963,,-64.63536404089618,-14.589463116273066,-577770.085483516,-530154.48349833,-47612.79913052201,-577767.0349223559,616,0.0019524055533111,True,2.7128497011901467,2.579244517134157,3.0,2.0
L2,Q92793,128208,8.2596,-1,-8.0305,,-48.69608490790003,-24.912885863858865,-589621.4556049991,-530154.48349833,-59464.86044456698,-589619.7699517859,395,0.0018200234044343,True,2.83278335114632,2.923870889067699,6.0,6.0
L3,A0A1D8PKB4,1740,6.9586,0,-10.12759,,-53.02482096008451,-35.856192024042706,-621283.5309086799,-594176.680705649,-27104.55082916746,-621282.0782772587,392,0.0018831354100257,True,2.95454524073176,3.107504303393174,9.0,1.0
L3,A0A1D8PKB4,3477,6.0044,0,-8.85682,,-65.18689622632,-45.2413565407246,-622006.1074321049,-594176.680705649,-27826.59995509276,-622004.795864163,335,0.0018101115711033,True,2.8047081445367774,2.594218318783029,6.0,8.0
L3,A0A1D8PKB4,10448,7.1079,0,-9.73044,,-64.90034241234207,-35.19200898238309,-622723.3146202121,-594176.680705649,-28543.81956934941,-622721.4004455461,578,0.0018806760199368,True,2.96775027934063,2.6962024627608936,7.0,4.0
L3,A0A1D8PKB4,21866,6.7447,0,-9.46725,,-73.89532932052099,-29.7253677523677,-638157.7594494518,-594176.680705649,-43977.87433903921,-638154.3704750398,420,0.0019851508550345,True,2.900854380042844,2.848687128272941,4.0,6.0
