dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L2/O43318,16877,0.6272664550503082,3.3569454820767053,0.0,3.9842119371270144
t3,L2/O43318,31974,8.466022638403057,-0.249895212584347,0.0,8.21612742581871
t3,L2/O43318,62528,-15.897467520921749,3.3313932340654038,0.0,-12.566074286856345
t3,L2/O43318,73366,-9.423472856289354,-1.1546867069585591,0.0,-10.578159563247912
t3,L2/O43318,76262,13.628247502727113,1.7266282134940827,0.0,15.354875716221198
t3,L2/O43318,79851,6.647934827841709,2.6232069761917183,0.0,9.27114180403342
t3,L2/O43318,115639,-9.068428904228647,-2.476407318318925,0.0,-11.544836222547575
t3,L2/O43318,135321,19.882467401558227,1.901463869359695,0.0,21.783931270917922
t3,L2/O43318,144881,-8.52783872451537,-0.6531135348468471,0.0,-9.180952259362215
t3,L2/O75460,4142,-11.697005426243717,0.24163849640339308,0.0,-11.455366929840324
t3,L2/O75460,6730,-11.146816997429013,-1.8817753055881,0.0,-13.028592303017117
t3,L2/O75460,14710,-0.06817736217211845,0.8007626434604127,0.0,0.7325852812883014
t3,L2/O75460,25683,13.344122713724577,2.6928633114509353,0.0,16.036986025175516
t3,L2/O75460,48303,-16.088699430338284,2.7490315236633478e-05,0.0,-16.088671940023055
t3,L2/O75460,72342,-1.2456411652887005,0.28656729310837115,0.0,-0.9590738721803298
t3,L2/O75460,84980,2.7790787832312205,3.197349082461841,0.0,5.976427865693058
t3,L2/O75460,96586,22.81902341684259,-1.0321500013125302,0.0,21.786873415530067
t3,L2/O75460,100233,5.901967932247079,-3.029509711823632,0.0,2.87245822042345
t3,L2/O75460,127767,0.9658784124589737,-4.665364904410426,0.0,-3.699486491951447
t3,L2/O95819,11547,-4.642058612469251,-0.04786613688787611,0.0,-4.689924749357129
t3,L2/O95819,16994,-25.769935575927136,-8.44664401988194,0.0,-34.21657959580908
t3,L2/O95819,17170,-9.838819554789907,-3.2988378281473274e-05,0.0,-9.838852543168194
t3,L2/O95819,35616,-13.965333051825159,-1.705537643645485,0.0,-15.670870695470644
t3,L2/O95819,48976,-0.02312966129657923,1.0246478942847865,0.0,1.001518232988218
t3,L2/O95819,51207,-1.052707954357245,0.5672296665041792,0.0,-0.4854782878530628
t3,L2/O95819,84031,-45.26693789392259,-0.025567367684686815,0.0,-45.29250526160728
t3,L2/O95819,99264,5.4327652984487695,2.1516724715377293,0.0,7.584437769986501
t3,L2/O95819,104627,-38.61731653373113,0.9269569355485121,0.0,-37.69035959818261
