mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
37105,173,0,,0,-7.46455,-257469.5215284796,-194591.70549166933,-62875.196416727005,-2.619620083249174,-60.40987422781771,60.40987422781771,15.0,186.0
32062,79,0,,0,-8.36997,-254920.0144031593,-194591.70551983043,-60325.690963208406,-2.617920120486815,-60.37067215522605,60.37067215522605,16.0,87.0
37071,39,1,8.0,0,-9.64377,-244954.82526484612,-194591.70551983043,-50360.520060203206,-2.5996848125141696,-59.9501559635168,59.9501559635168,17.0,4.0
2496,27,1,8.0,0,-9.01497,-234107.5156402444,-194591.70551983043,-39513.21825841151,-2.5918620024458505,-59.76975767776648,59.76975767776648,18.0,22.0
128703,37,1,8.0,0,-9.09287,-245969.1084579893,-194591.70549166933,-51374.865548319336,-2.537418000596517,-58.51424916902962,58.51424916902962,19.0,18.0
140320,110,0,,0,-6.4576,-245492.0017502368,-194591.70551983043,-50897.80433411866,-2.49189628772001,-57.46449353190922,57.46449353190922,20.0,237.0
120617,175,0,,0,-7.7137,-256807.1123228048,-194591.70551983043,-62212.92274877933,-2.4840541950179613,-57.28365057806148,57.28365057806148,21.0,165.0
65283,121,0,,0,-8.1683,-240187.89664156828,-194591.70549166933,-45593.72117822544,-2.469971673512191,-56.95889991730194,56.95889991730194,22.0,111.0
49247,202,0,,0,-8.16591,-250020.9372948156,-194591.70551983043,-55426.78976278197,-2.4420122031806386,-56.3141392144024,56.3141392144024,23.0,113.0
117325,31,1,8.0,0,-8.73152,-240823.30658283143,-194591.70551983043,-46229.161282890425,-2.4397801106024417,-56.262665936740525,56.262665936740525,24.0,48.0
19378,183,0,,0,-7.71682,-231807.27109328745,-194591.70551983043,-37213.1275409528,-2.438032504185685,-56.22236517537781,56.22236517537781,25.0,163.0
142603,161,0,,0,-7.59333,-247771.83189955383,-194591.70549166933,-53177.70886284356,-2.417545040967525,-55.74991304990738,55.74991304990738,26.0,179.0
132725,40,1,8.0,0,-9.01985,-243917.8527593548,-194591.70550220693,-49323.75422276397,-2.393034383880149,-55.18468386978405,55.18468386978405,27.0,21.0
1172,131,0,,0,-6.8659,-239400.18126669133,-194591.70551983043,-44806.08355430055,-2.3921925603499403,-55.16527095800073,55.16527095800073,28.0,226.0
36583,147,0,,0,-7.39454,-245229.26574205217,-194591.70551983043,-50635.19037343674,-2.3698487849978846,-54.65001125777805,54.65001125777805,29.0,193.0
102928,142,0,,0,-8.79261,-244765.47600453452,-194591.70551983043,-50171.44331711056,-2.327167593553895,-53.66575960101612,53.66575960101612,30.0,42.0
48402,107,0,,0,-8.7961,-290310.916590893,-194591.70551983043,-95716.89269055553,-2.318380507043912,-53.46312457226087,53.46312457226087,31.0,41.0
131898,203,0,,0,-7.96445,-254428.77987294947,-194591.70551983043,-59834.7755327749,-2.298820344134583,-53.01205649991559,53.01205649991559,32.0,139.0
14741,208,0,,0,-7.69037,-243956.01529786523,-194591.70550220693,-49362.01108895327,-2.2987067050344194,-53.00943592001083,53.00943592001083,33.0,167.0
111873,55,1,8.0,0,-8.41119,-233074.3430523675,-194591.70551983043,-38480.3397779895,-2.297754547573277,-52.98747864733587,52.98747864733587,34.0,82.0
44050,123,0,,0,-9.88839,-245448.35913746184,-194591.70551983043,-50854.36690417147,-2.286713459943712,-52.73286511795224,52.73286511795224,35.0,1.0
14426,92,0,,0,-7.61349,-250838.74738563903,-194591.70550220693,-56244.7604123826,-2.2814710495295003,-52.611972261847576,52.611972261847576,36.0,178.0
33001,22,1,8.0,0,-8.98949,-242873.42287772472,-194591.70551983043,-48279.45065159145,-2.266706302842067,-52.27148911465505,52.27148911465505,37.0,24.0
136961,56,1,8.0,0,-8.42537,-232043.04986400373,-194591.70550220693,-37449.080979407314,-2.263382389486651,-52.19483785173764,52.19483785173764,38.0,79.0
8929,1,1,8.0,0,-8.35427,-231011.9993315357,-194591.70549166933,-36418.06818966173,-2.225650204687554,-51.32471299942431,51.32471299942431,39.0,89.0
